School_Name,Address_Line_1,Address_Town,Postal_Postcode,Full_Phone_No,School URL,ICSEA,School_Type,Campus Type,LGA_Name,Suburb,Education_Sector,School Type,Year Range,Geolocation,Total Enrolments,Girls Enrolments,Boys Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%)
Weeroona College Bendigo,383 Napier Street,Bendigo,3552.0,03 5443 2133,http://www.weeroona.vic.edu.au/,945.0,Secondary,School Head Campus,Greater Bendigo (C),Bendigo,Government,Secondary,7-12,Inner Regional,770.0,345.0,425.0,6.0,10.0
Whittlesea Secondary College,55 Laurel Street,Whittlesea,3757.0,03 9719 1200,http://www.whittleseasc.vic.edu.au,966.0,Secondary,School Single Entity,Whittlesea (C),Whittlesea,Government,Secondary,7-12,Major Cities,745.0,333.0,412.0,3.0,6.0
Alexandra Secondary College,Downey Street,Alexandra,3714.0,03 5770 2000,http://www.asc.vic.edu.au,976.0,Secondary,School Single Entity,Murrindindi (S),Alexandra,Government,Secondary,7-12,Inner Regional,327.0,167.0,160.0,4.0,5.0
Auburn High School,26 Burgess Street,Hawthorn East,3123.0,03 9822 3247,http://www.auburnhs.vic.edu.au/,1137.0,Secondary,School Single Entity,Boroondara (C),Hawthorn East,Government,Secondary,7-12,Major Cities,748.0,263.0,485.0,0.0,53.0
Ballarat High School,1726 Sturt Street,LAKE GARDENS,3355.0,03 5338 9000,http://www.ballaraths.vic.edu.au,1016.0,Secondary,School Single Entity,Ballarat (C),Lake Gardens,Government,Secondary,7-12,Inner Regional,1459.0,792.0,667.0,2.0,8.0
Balwyn High School,Buchanan Avenue,Balwyn North,3104.0,03 9819 7911,http://www.balwynhs.vic.edu.au,1140.0,Secondary,School Single Entity,Boroondara (C),Balwyn North,Government,Secondary,7-12,Major Cities,2221.0,969.0,1252.0,0.0,77.0
Bayswater Secondary College,14 Orchard Road,Bayswater,3153.0,03 8720 7555,http://www.bayswatersc.vic.edu.au,972.0,Secondary,School Single Entity,Knox (C),Bayswater,Government,Secondary,7-12,Major Cities,178.0,79.0,99.0,2.0,7.0
Beaufort Secondary College,1/37 Park Road,Beaufort,3373.0,03 5349 2305,http://www.beaufortsc.vic.edu.au/,967.0,Secondary,School Single Entity,Pyrenees (S),Beaufort,Government,Secondary,7-12,Inner Regional,202.0,110.0,92.0,4.0,0.0
Beaumaris Secondary College,117 - 136 Reserve Road,Beaumaris,3193.0,03 8569 9200,http://www.beaumarissc.vic.edu.au/,1110.0,Secondary,School Single Entity,Bayside (C),Beaumaris,Government,Secondary,7-12,Major Cities,965.0,405.0,560.0,0.0,15.0
Beechworth Secondary College,85 Balaclava Road,Beechworth,3747.0,03 5728 1264,http://www.bworthsc.vic.edu.au,1042.0,Secondary,School Single Entity,Indigo (S),Beechworth,Government,Secondary,7-12,Inner Regional,234.0,92.0,142.0,2.0,4.0
Belmont High School,12-36 Rotherham Street,Belmont,3216.0,03 5243 5355,http://www.belmonthigh.com.au,968.0,Secondary,School Single Entity,Greater Geelong (C),Belmont,Government,Secondary,7-12,Major Cities,761.0,383.0,378.0,13.0,5.0
Belmont High School,12-36 Rotherham Street,Belmont,3216.0,03 5243 5355,http://www.bhs.vic.edu.au,1043.0,Secondary,School Head Campus,Greater Geelong (C),Belmont,Government,Secondary,7-12,Major Cities,1223.0,543.0,680.0,1.0,13.0
Bendigo Senior Secondary College,40 Gaol Road,Bendigo,3552.0,03 5443 1222,http://www.bssc.edu.au/,1005.0,Secondary,School Head Campus,Greater Bendigo (C),Bendigo,Government,Secondary,10-12,Inner Regional,1733.0,907.0,826.0,4.0,10.0
Berwick Secondary College,65-69 Manuka Road,Berwick,3806.0,03 8768 1000,http://www.berwickcollege.vic.edu.au/,1024.0,Secondary,School Single Entity,Casey (C),Berwick,Government,Secondary,7-12,Major Cities,1744.0,837.0,907.0,1.0,18.0
Blackburn High School,60 Springfield Road,Blackburn,3130.0,03 8804 6464,http://www.blackburnhs.vic.edu.au,1091.0,Secondary,School Single Entity,Whitehorse (C),Blackburn,Government,Secondary,7-12,Major Cities,1261.0,534.0,727.0,1.0,37.0
Box Hill High School,1180 Whitehorse Road,Box Hill,3128.0,03 9877 1177,http://www.boxhillhs.vic.edu.au,1122.0,Secondary,School Single Entity,Whitehorse (C),Box Hill,Government,Secondary,7-12,Major Cities,1479.0,610.0,869.0,0.0,61.0
Braybrook College,352 Ballarat Road,Braybrook,3019.0,03 9312 2900,http://www.braybrooksc.vic.edu.au,969.0,Secondary,School Single Entity,Maribyrnong (C),Braybrook,Government,Secondary,7-12,Major Cities,1389.0,679.0,710.0,1.0,84.0
Brentwood Secondary College,65-71 Watsons Road,Glen Waverley,3150.0,03 8545 0300,http://www.brentwood.vic.edu.au,1086.0,Secondary,School Single Entity,Monash (C),Glen Waverley,Government,Secondary,7-12,Major Cities,1608.0,761.0,847.0,0.0,61.0
Brighton Secondary College,120 Marriage Road,Brighton East,3187.0,03 9592 7488,http://www.brightonsc.vic.edu.au,1118.0,Secondary,School Single Entity,Bayside (C),Brighton East,Government,Secondary,7-12,Major Cities,995.0,401.0,594.0,1.0,35.0
Broadford Secondary College,2-12 Pinniger Street,Broadford,3658.0,03 5784 1200,http://www.broadfordsc.vic.edu.au,970.0,Secondary,School Single Entity,Mitchell (S),Broadford,Government,Secondary,7-12,Inner Regional,780.0,383.0,397.0,4.0,5.0
Buckley Park College,59-99 Cooper Street,Essendon,3040.0,03 9331 9999,http://www.buckleyparkco.vic.edu.au,1079.0,Secondary,School Single Entity,Moonee Valley (C),Essendon,Government,Secondary,7-12,Major Cities,889.0,399.0,490.0,1.0,41.0
Camberwell High School,Prospect Hill Road,Canterbury,3126.0,03 9836 0555,http://www.camhigh.vic.edu.au,1121.0,Secondary,School Single Entity,Boroondara (C),Canterbury,Government,Secondary,7-12,Major Cities,982.0,299.0,683.0,0.0,30.0
Canterbury Girls Secondary College,16 Mangarra Road,Canterbury,3126.0,03 9830 5099,http://www.cgsc.vic.edu.au,1135.0,Secondary,School Single Entity,Boroondara (C),Canterbury,Government,Secondary,7-12,Major Cities,799.0,799.0,0.0,0.0,37.0
Casterton Secondary College,27 Mt Gambier Road,Casterton,3311.0,03 5581 1588,http://www.castertonsc.vic.edu.au,949.0,Secondary,School Single Entity,Glenelg (S),Casterton,Government,Secondary,7-12,Outer Regional,113.0,63.0,50.0,4.0,3.0
Cheltenham Secondary College,73-75 Bernard Street,Cheltenham,3189.0,03 9555 5955,http://www.cheltsec.vic.edu.au,1052.0,Secondary,School Single Entity,Kingston (C),Cheltenham,Government,Secondary,7-12,Major Cities,886.0,363.0,523.0,1.0,43.0
Cobram Secondary College,25-47 Warkil Street,Cobram,3644.0,03 5871 1700,http://www.cobramsc.vic.edu.au/,956.0,Secondary,School Single Entity,Moira (S),Cobram,Government,Secondary,7-12,Inner Regional,415.0,219.0,196.0,6.0,6.0
Cohuna Secondary College,6415 Murray Valley Highway,Cohuna,3568.0,03 5456 2555,http://www.cohuna-sc.vic.edu.au,966.0,Secondary,School Single Entity,Gannawarra (S),Cohuna,Government,Secondary,7-12,Outer Regional,170.0,78.0,92.0,5.0,4.0
Cranbourne Secondary College,Stawell Street,Cranbourne,3977.0,03 5996 3544,http://www.cranbournesc.vic.edu.au,930.0,Secondary,School Single Entity,Casey (C),Cranbourne,Government,Secondary,7-12,Major Cities,1243.0,636.0,607.0,2.0,45.0
Cranbourne West Secondary College,80 Strathlea Drive,Cranbourne West,3977.0,03 9770 7200,https://www.cwsc.vic.edu.au,984.0,Secondary,School Single Entity,Casey (C),Cranbourne West,Government,Secondary,7-9,Major Cities,804.0,391.0,413.0,1.0,47.0
Croydon Community School,61-77 Croydon Road,Croydon,3136.0,03 9724 2900,http://www.croydoncs.vic.edu.au,979.0,Secondary,School Head Campus,Maroondah (C),Croydon,Government,Secondary,7-12,Major Cities,154.0,59.0,95.0,6.0,2.0
Mount Alexander 7-12 College,78 Wellington Street,Flemington,3031.0,03 9376 1622,http://www.mountalexandercollege.vic.edu.au,1074.0,Secondary,School Head Campus,Moonee Valley (C),Flemington,Government,Secondary,7-12,Major Cities,687.0,307.0,380.0,1.0,40.0
